internship_title,organization,skills_required,min_gpa,qualification,location,deadline,application_link,internship_url,source,description,stipend,duration,status
ISRO Internship / Student Project Trainee — URSC,ISRO,"Spacecraft systems, Satellite integration, PCB design, Embedded systems, Software testing",0.0,"Electronics, Electrical, CS, Mechanical, Aerospace","URSC — U R Rao Satellite Centre, Bangalore",,https://www.isro.gov.in/InternshipAndProjects.html,https://www.isro.gov.in/InternshipAndProjects.html,Space & Science,ISRO Internship / Student Project Trainee — URSC at ISRO. Satellite design and development centre,Unpaid (most schemes),1–6 months,Open
ISRO Internship / Student Project Trainee — LPSC,ISRO,"Propulsion systems, Fluid dynamics, Chemical process, Thermodynamics, MATLAB",0.0,Engineering,"LPSC — Liquid Propulsion Systems Centre, Thiruvananthapuram",,https://www.isro.gov.in/InternshipAndProjects.html,https://www.isro.gov.in/InternshipAndProjects.html,Space & Science,ISRO Internship / Student Project Trainee — LPSC at ISRO. Liquid and cryo propulsion systems,Unpaid (most schemes),1–6 months,Open
ISRO Internship / Student Project Trainee — NRSC,ISRO,"GIS, Remote Sensing, Python, QGIS, ArcGIS, Image processing, Earth observation data analysis",0.0,"Remote Sensing, GIS, Geography, CS, Earth Sciences","NRSC — National Remote Sensing Centre, Hyderabad",,https://www.isro.gov.in/InternshipAndProjects.html,https://www.isro.gov.in/InternshipAndProjects.html,Space & Science,ISRO Internship / Student Project Trainee — NRSC at ISRO. Earth observation and geospatial data centre,Unpaid (most schemes),1–6 months,Open
ISRO Internship / Student Project Trainee — ISTRAC,ISRO,"Networking, Software development, Signal processing, RF systems, Python, C++",0.0,"CS, Electronics, Electrical, Networking","ISTRAC — ISRO Telemetry Tracking and Command Network, Bangalore",,https://www.isro.gov.in/InternshipAndProjects.html,https://www.isro.gov.in/InternshipAndProjects.html,Space & Science,ISRO Internship / Student Project Trainee — ISTRAC at ISRO. Tracking and command network operations,Unpaid (most schemes),1–6 months,Open
ISRO Internship / Student Project Trainee — SDSC SHAR,ISRO,"Launch operations, Ground support systems, Safety analysis, Process engineering",0.0,"Mechanical, Aerospace, Chemical, Electrical, CS","SDSC SHAR — Satish Dhawan Space Centre, Sriharikota",,https://www.isro.gov.in/InternshipAndProjects.html,https://www.isro.gov.in/InternshipAndProjects.html,Space & Science,ISRO Internship / Student Project Trainee — SDSC SHAR at ISRO. Launch base operations and solid propellant centre,Unpaid (most schemes),1–6 months,Open
IIRS External Student Internship Programme,IIRS (ISRO),"GIS, Remote sensing image analysis, ERDAS, ENVI, Python, QGIS, Geospatial data processing",0.0,"Remote Sensing, GIS, Geomatics, Geography, Environmental Science, Geology",Dehradun,,https://www.iirs.gov.in/content/external-student-internship,https://www.iirs.gov.in/content/external-student-internship,Space & Science,IIRS External Student Internship Programme at IIRS (ISRO). Apply via admission.iirs.gov.in,Unpaid,4–24 weeks,Open
DRDO-CAIR Internship / Project Trainee,DRDO,"AI, ML, Python, TensorFlow, PyTorch, Robotics, Computer vision, NLP, C++",0.0,"CS, AI/ML, Robotics, Electronics","CAIR — Centre for Artificial Intelligence & Robotics, Bangalore",,https://drdo.gov.in/drdo/en/search/node?keys=Internship,https://drdo.gov.in/drdo/en/search/node?keys=Internship,Defence,DRDO-CAIR Internship / Project Trainee at DRDO. Apply directly to CAIR; PDF notice on DRDO vacancy page,"Unpaid / ₹5,000–₹10,000",4–6 months,Open
DRDO-ADE Internship / Project Trainee,DRDO,"UAV design, Avionics, Embedded systems, MATLAB, CFD, Structural analysis, C++",0.0,Engineering,"ADE — Aeronautical Development Establishment, Bangalore",,https://drdo.gov.in/drdo/en/search/node?keys=Internship,https://drdo.gov.in/drdo/en/search/node?keys=Internship,Defence,DRDO-ADE Internship / Project Trainee at DRDO. Unmanned aerial vehicles and aeronautical systems,Unpaid,4–6 months,Open
DRDO-LRDE Internship / Project Trainee,DRDO,"Radar systems, Signal processing, FPGA, VHDL, RF, Microwave, Python, MATLAB, Embedded C",0.0,"Electronics, ECE, Signal Processing, CS","LRDE — Electronics & Radar Development Establishment, Bangalore",,https://drdo.gov.in/drdo/en/search/node?keys=Internship,https://drdo.gov.in/drdo/en/search/node?keys=Internship,Defence,DRDO-LRDE Internship / Project Trainee at DRDO. Radar and electronic warfare systems,Unpaid,4–6 months,Open
DRDO-DRDE Internship / Project Trainee,DRDO,"Microbiology, Biochemistry, Chemical analysis, Lab techniques, HPLC, PCR, Biodefence research",0.0,"Biochemistry, Microbiology, Life Sciences, Chemistry","DRDE — Defence Research & Development Establishment, Gwalior",,https://drdo.gov.in/drdo/en/search/node?keys=Internship,https://drdo.gov.in/drdo/en/search/node?keys=Internship,Defence,DRDO-DRDE Internship / Project Trainee at DRDO. Biochemical and biomedical defence research,Unpaid,4–6 months,Open
DRDO-DRDL Internship / Project Trainee,DRDO,"Aerodynamics, Missile systems, Propulsion, CFD, MATLAB, Systems engineering",0.0,"Aerospace, Mechanical, Chemical, Electronics","DRDL — Defence Research & Development Laboratory, Hyderabad",,https://drdo.gov.in/drdo/en/search/node?keys=Internship,https://drdo.gov.in/drdo/en/search/node?keys=Internship,Defence,DRDO-DRDL Internship / Project Trainee at DRDO. Missile systems and aeronautical research,Unpaid,4–6 months,Open
DRDO-DMRL Internship / Project Trainee,DRDO,"Metallurgy, Materials characterization, SEM, TEM, XRD, Heat treatment, Mechanical testing",0.0,"Metallurgy, Materials Science, Mechanical, Chemistry","DMRL — Defence Metallurgical Research Laboratory, Hyderabad",,https://drdo.gov.in/drdo/en/search/node?keys=Internship,https://drdo.gov.in/drdo/en/search/node?keys=Internship,Defence,DRDO-DMRL Internship / Project Trainee at DRDO. Special metals and materials for defence,Unpaid,4–6 months,Open
DRDO-HEMRL Internship / Project Trainee,DRDO,"Energetic materials, Chemistry synthesis, Chemical analysis, Safety protocols, Thermochemistry",0.0,Engineering,"HEMRL — High Energy Materials Research Laboratory, Pune",,https://drdo.gov.in/drdo/en/search/node?keys=Internship,https://drdo.gov.in/drdo/en/search/node?keys=Internship,Defence,DRDO-HEMRL Internship / Project Trainee at DRDO. High energy materials and explosives research,Unpaid,4–6 months,Open
DRDO-SAG Internship / Project Trainee,DRDO,"Cryptography, Cybersecurity, Network security, Algorithms, Python, C++, Number theory",0.0,"CS, Mathematics, Cryptography, Information Security","SAG — Scientific Analysis Group, Delhi",,https://drdo.gov.in/drdo/en/search/node?keys=Internship,https://drdo.gov.in/drdo/en/search/node?keys=Internship,Defence,DRDO-SAG Internship / Project Trainee at DRDO. Cryptography and information security research,Unpaid,4–6 months,Open
DRDO-NPOL Internship / Project Trainee,DRDO,"Sonar systems, Underwater acoustics, Signal processing, MATLAB, Embedded systems",0.0,"Electronics, Acoustics, Mechanical, CS, Physics","NPOL — Naval Physical & Oceanographic Laboratory, Kochi",,https://drdo.gov.in/drdo/en/search/node?keys=Internship,https://drdo.gov.in/drdo/en/search/node?keys=Internship,Defence,DRDO-NPOL Internship / Project Trainee at DRDO. Underwater and naval systems research,Unpaid,4–6 months,Open
DRDO-INMAS Internship / Project Trainee,DRDO,"Radiation biology, Nuclear imaging, Biomedical instruments, PCR, Cell culture, ELISA",0.0,Engineering,"INMAS — Institute of Nuclear Medicine & Allied Sciences, Delhi",,https://drdo.gov.in/drdo/en/search/node?keys=Internship,https://drdo.gov.in/drdo/en/search/node?keys=Internship,Defence,DRDO-INMAS Internship / Project Trainee at DRDO. Nuclear medicine and radiation research,Unpaid,4–6 months,Open
NICSI Internship Programme (AI/Cybersecurity/E-Governance),NICSI,"AI, ML, Python, Cybersecurity, Networking, Cloud, E-governance systems, Java, REST APIs",0.0,"CS, IT, AI/ML, Cybersecurity, ECE",New Delhi,,https://nicsi.nic.in/nicsi/internship/,https://nicsi.nic.in/nicsi/internship/,Government Technology,"NICSI Internship Programme (AI/Cybersecurity/E-Governance) at NICSI. Announces batches in AI, cybersecurity, e-governance domains",Stipend (nominal),3–6 months,Open
NIC Internship (via NICSI portal),NIC (National Informatics Centre),"Python, Java, Web development, Database (SQL), Networking, Cloud computing, Government IT systems",0.0,"CS, IT, ECE, Data Science",Hybrid,,https://nicsi.nic.in/nicsi/internship/,https://nicsi.nic.in/nicsi/internship/,Government Technology,NIC Internship (via NICSI portal) at NIC (National Informatics Centre). Check NICSI portal for NIC-linked openings,Stipend (nominal),3–6 months,Open
RBI Summer Internship 2026,RBI,"Macroeconomics, Statistical analysis, Python, Report writing, Financial modelling, Research methodology",0.0,MBA,Pan-India (RBI Offices),Closed (2026 batch),https://opportunities.rbi.org.in/scripts/summer.aspx,https://opportunities.rbi.org.in/scripts/summer.aspx,Finance & Regulation,RBI Summer Internship 2026 at RBI. Application window Oct 15–Dec 15 2025 (closed); plan for 2027 cycle,"₹50,000 (lump sum)",2 months (May–July),Open
SEBI Young Professional Program (YPP) 2026 — Securities Market Operations,SEBI,"Securities markets, Financial regulation, Capital markets analysis, Report writing, Excel, Policy research",0.0,MBA,Mumbai,,https://www.sebi.gov.in/sebiweb/about/AboutAction.do?doInternships=yes,https://www.sebi.gov.in/sebiweb/about/AboutAction.do?doInternships=yes,Finance & Regulation,SEBI Young Professional Program (YPP) 2026 — Securities Market Operations at SEBI. 40 posts in Securities Market Operations domain; YPP 2026,"₹70,000/month",1 year,Open
SEBI Young Professional Program (YPP) 2026 — Law,SEBI,"Securities law, Contract drafting, Legal research, Regulatory compliance, Documentation",0.0,LLB,Mumbai,,https://www.sebi.gov.in/sebiweb/about/AboutAction.do?doInternships=yes,https://www.sebi.gov.in/sebiweb/about/AboutAction.do?doInternships=yes,Finance & Regulation,SEBI Young Professional Program (YPP) 2026 — Law at SEBI. 13 posts in Law domain; YPP 2026,"₹70,000/month",1 year,Open
SEBI Young Professional Program (YPP) 2026 — Information Technology,SEBI,"Software development, Cybersecurity, System design, Database management, Python, Java, IT governance",0.0,B.Tech/B.E.,Mumbai,,https://www.sebi.gov.in/sebiweb/about/AboutAction.do?doInternships=yes,https://www.sebi.gov.in/sebiweb/about/AboutAction.do?doInternships=yes,Finance & Regulation,SEBI Young Professional Program (YPP) 2026 — Information Technology at SEBI. 29 posts in IT domain; YPP 2026,"₹70,000/month",1 year,Open
SEBI Young Professional Program (YPP) 2026 — Research,SEBI,"Quantitative research, Econometrics, STATA, Python, Capital market research, Data analysis",0.0,MBA,Mumbai,,https://www.sebi.gov.in/sebiweb/about/AboutAction.do?doInternships=yes,https://www.sebi.gov.in/sebiweb/about/AboutAction.do?doInternships=yes,Finance & Regulation,SEBI Young Professional Program (YPP) 2026 — Research at SEBI. 4 posts in Research domain; YPP 2026,"₹70,000/month",1 year,Open
SEBI Legal Department Internship 2026,SEBI,"Legal research, Case analysis, Regulatory drafting, Securities law, Legal documentation",0.0,LLB,Mumbai,,https://www.sebi.gov.in/sebiweb/other/OtherAction.do?doLegalIntership2022=yes,https://www.sebi.gov.in/sebiweb/other/OtherAction.do?doLegalIntership2022=yes,Finance & Regulation,SEBI Legal Department Internship 2026 at SEBI. Monthly applications; must be enrolled in BCI/UGC-recognised law college; under 28 years,Stipend (nominal),1 month (renewable),Open
IRDAI Summer Internship Programme,IRDAI,"Insurance regulation, Actuarial concepts, Policy research, Financial analysis, Report writing",0.0,MBA,Hyderabad,,https://irdai.gov.in/internship,https://irdai.gov.in/internship,Finance & Regulation,IRDAI Summer Internship Programme at IRDAI. For pre-final year students; regulatory perspective on insurance; limited seats,Unpaid,6–8 weeks (Summer),Open
BHEL Haridwar Summer Industrial Training,BHEL,"Power plant equipment, Transformers, Turbines, Electrical machines, AutoCAD, MATLAB",0.0,Engineering,Haridwar Unit,,https://hwr.bhel.com/recruitment/,https://hwr.bhel.com/recruitment/,Energy & Heavy Industry,BHEL Haridwar Summer Industrial Training at BHEL. Apply at hwr.bhel.com; unit-specific portal,Unpaid / Nominal,4–8 weeks,Open
BHEL Haridwar Diploma/Degree Apprenticeship (Apprentices Act),BHEL,"Industrial automation, Power systems, Electrical machines, Mechanical fabrication, CAD",0.0,Diploma,Haridwar Unit,,https://hwr.bhel.com/recruitment/GdDpAppr/diploma_main.jsp,https://hwr.bhel.com/recruitment/GdDpAppr/diploma_main.jsp,Energy & Heavy Industry,BHEL Haridwar Diploma/Degree Apprenticeship (Apprentices Act) at BHEL. Under Apprentices Act 1961; paid stipend,"₹8,000–₹9,000/month",1 year,Open
BHEL Trichy Apprenticeship Programme,BHEL,"Boiler fabrication, Welding, Industrial manufacturing, Mechanical fitting, Electrical wiring",0.0,Diploma,Trichy Unit,,https://trichy.bhel.com/tms/app_pro/index.jsp,https://trichy.bhel.com/tms/app_pro/index.jsp,Energy & Heavy Industry,BHEL Trichy Apprenticeship Programme at BHEL. Unit-specific portal at trichy.bhel.com,"₹7,000–₹9,000/month",1 year,Open
BHEL Bhopal Industrial Training / Apprenticeship,BHEL,"Electrical machines, Switchgear, HV equipment, Mechanical manufacturing, Automation",0.0,Diploma,Bhopal Unit,,https://careers.bhel.in,https://careers.bhel.in,Energy & Heavy Industry,BHEL Bhopal Industrial Training / Apprenticeship at BHEL. Heavy electrical equipment manufacturing unit,"₹8,000–₹9,000/month (apprenticeship)",1 year / 4–8 weeks,Open
BHEL Hyderabad Industrial Training / Apprenticeship,BHEL,"Power electronics, Control systems, Drives, Embedded systems, Electrical testing",0.0,Diploma,Hyderabad Unit,,https://careers.bhel.in,https://careers.bhel.in,Energy & Heavy Industry,BHEL Hyderabad Industrial Training / Apprenticeship at BHEL. Power electronics and control equipment focus,"₹8,000–₹9,000/month (apprenticeship)",1 year / 4–8 weeks,Open
BEL Bangalore Degree/Diploma Apprenticeship (NATS),BEL (Bharat Electronics),"Defence electronics, PCB design, Embedded systems, Communication systems, VLSI, Testing",0.0,Diploma,Bangalore Unit,,https://bel-india.in/job-notifications/,https://bel-india.in/job-notifications/,Electronics & Defence,BEL Bangalore Degree/Diploma Apprenticeship (NATS) at BEL (Bharat Electronics). NATS-based apprenticeship; largest BEL unit,"₹8,000–₹9,000/month",1 year,Open
BEL Ghaziabad Apprenticeship,BEL (Bharat Electronics),"Radar systems, Electronic warfare, Antenna systems, Mechanical assembly, Testing",0.0,Diploma,Ghaziabad Unit,,https://bel-india.in/job-notifications/,https://bel-india.in/job-notifications/,Electronics & Defence,BEL Ghaziabad Apprenticeship at BEL (Bharat Electronics). Radar and antenna systems focus,"₹8,000–₹9,000/month",1 year,Open
BEL Pune Apprenticeship,BEL (Bharat Electronics),"Defence systems, Electronics manufacturing, PCB assembly, Testing and calibration",0.0,Diploma,Pune Unit,,https://bel-india.in/job-notifications/,https://bel-india.in/job-notifications/,Electronics & Defence,BEL Pune Apprenticeship at BEL (Bharat Electronics). Defence electronics manufacturing,"₹8,000–₹9,000/month",1 year,Open
BEL Panchkula Apprenticeship,BEL (Bharat Electronics),"Electronic systems, Military communications, Software testing, IT support",0.0,Diploma,Panchkula Unit,,https://bel-india.in/job-notifications/,https://bel-india.in/job-notifications/,Electronics & Defence,BEL Panchkula Apprenticeship at BEL (Bharat Electronics). Electronic systems and telecom focus,"₹8,000–₹9,000/month",1 year,Open
BEL Chennai/Kotdwara Apprenticeship,BEL (Bharat Electronics),"Opto-electronics, Night vision, Optical systems, Mechanical precision, Electronics testing",0.0,Diploma,Chennai / Kotdwara Units,,https://bel-india.in/job-notifications/,https://bel-india.in/job-notifications/,Electronics & Defence,BEL Chennai/Kotdwara Apprenticeship at BEL (Bharat Electronics). Kotdwara: opto-electronics; Chennai: naval/defence systems,"₹8,000–₹9,000/month",1 year,Open
HAL Degree/Diploma Apprenticeship 2026 — Bangalore,HAL (Hindustan Aeronautics),"Aircraft manufacturing, Avionics, Structural assembly, Electrical wiring, Mechanical fitting",0.0,Diploma,Bangalore (Aircraft Division),,https://hal-india.co.in/career,https://hal-india.co.in/career,Aerospace & Defence,HAL Degree/Diploma Apprenticeship 2026 — Bangalore at HAL (Hindustan Aeronautics). Jan 2026 notification; multiple divisions at Bangalore,"₹8,000–₹14,000/month",1 year,Open
HAL Nasik Apprenticeship 2026,HAL (Hindustan Aeronautics),"Aircraft manufacturing, Machining, Welding, Sheet metal, Avionics, Ground support",0.0,Diploma,Nasik (Aircraft Manufacturing Division),,https://hal-india.co.in/career,https://hal-india.co.in/career,Aerospace & Defence,HAL Nasik Apprenticeship 2026 at HAL (Hindustan Aeronautics). Fighter aircraft manufacture and overhaul,"₹8,000–₹14,000/month",1 year,Open
HAL Lucknow Apprenticeship 2026,HAL (Hindustan Aeronautics),"Aircraft accessories, Hydraulic systems, Pneumatics, Instruments, Mechanical fitting",0.0,Diploma,Lucknow (Accessories Complex),,https://hal-india.co.in/career,https://hal-india.co.in/career,Aerospace & Defence,HAL Lucknow Apprenticeship 2026 at HAL (Hindustan Aeronautics). Aircraft accessories and systems,"₹8,000–₹14,000/month",1 year,Open
HAL Koraput Apprenticeship 2026,HAL (Hindustan Aeronautics),"Aero engine overhaul, Precision machining, Metallurgy, Mechanical fitting, Quality inspection",0.0,Diploma,Koraput (Engine Division),,https://hal-india.co.in/career,https://hal-india.co.in/career,Aerospace & Defence,HAL Koraput Apprenticeship 2026 at HAL (Hindustan Aeronautics). Aero engine manufacturing and overhaul,"₹8,000–₹14,000/month",1 year,Open
NTPC PM Internship Scheme (PMIS) 2025–26 — 3022 positions,NTPC,"Power plant operations, Electrical systems, Project management, Finance, HR management, Data analysis",0.0,Any Graduate,"Pan-India (43 districts, 21 states)",,https://careers.ntpc.co.in/,https://careers.ntpc.co.in/,Energy & Power,NTPC PM Internship Scheme (PMIS) 2025–26 — 3022 positions at NTPC. 3022 positions; 21–24 yrs; non-student; Ministry of Corporate Affairs scheme,"₹5,000/month + ₹6,000 one-time",6 months,Open
NTPC Graduate Engineer Trainee (GET) via GATE,NTPC,"Power systems, Thermal, hydro engineering, Electrical machines, PLC, SCADA, Project management",0.0,"Electrical, Mechanical, Civil, Electronics, CS",Power Plants across India,,https://careers.ntpc.co.in/,https://careers.ntpc.co.in/,Energy & Power,NTPC Graduate Engineer Trainee (GET) via GATE at NTPC. GATE qualified required; lateral entry into NTPC workforce,"₹30,000–₹40,000/month during training",1 year,Open
ONGC SDC Summer Internship 2026,ONGC,"Petroleum engineering concepts, Drilling, Geosciences, Chemical processes, Electrical systems, Field reporting",0.0,MCA,"SDC Mumbai (Skill Development Centre), Bandra Kurla Complex",Apply by Apr 15 2026,https://ongcindia.com/web/eng/career/recruitment-policy/intern-with-us,https://ongcindia.com/web/eng/career/recruitment-policy/intern-with-us,Oil & Gas,ONGC SDC Summer Internship 2026 at ONGC. Merit-based selection; applications opened Mar 17 2026,Unpaid,1–2 months (May–Aug); MCA up to 6 months,Open
ONGC Regional Internship / Training,ONGC,"Petroleum geosciences, Drilling operations, Production, Reservoir management, Chemical engineering",0.0,Engineering,Regional Business Centres (Delhi/Dehradun/Kolkata/Vadodara/Chennai/Mumbai),,https://ongcindia.com/web/eng/career/recruitment-policy/intern-with-us,https://ongcindia.com/web/eng/career/recruitment-policy/intern-with-us,Oil & Gas,ONGC Regional Internship / Training at ONGC. Check Intern with Us page at ongcindia.com for regional openings,Unpaid / Nominal,4–8 weeks,Open
GAIL Summer Internship Programme 2026,GAIL,"Gas transmission, Process plants, Pipeline engineering, Business management, Financial analysis",0.0,MBA,Pan-India (Corporate & Plants),,https://gailonline.com/CRCareerGrowthGail.html,https://gailonline.com/CRCareerGrowthGail.html,Oil & Gas,GAIL Summer Internship Programme 2026 at GAIL. Twice yearly (Summer + Winter); apply via gailonline.com,Unpaid / Nominal,4–8 weeks (Summer),Open
GAIL Winter Internship Programme 2026,GAIL,"Gas distribution, Operations, Logistics, Finance, Process systems",0.0,MBA,Pan-India (Corporate & Plants),,https://gailonline.com/CRCareerGrowthGail.html,https://gailonline.com/CRCareerGrowthGail.html,Oil & Gas,GAIL Winter Internship Programme 2026 at GAIL. Winter batch; check gailonline.com for exact dates,Unpaid / Nominal,4–8 weeks (Winter),Open
GAIL PM Internship Scheme (PMIS) 2025–26,GAIL,"Gas industry operations, Finance, HR, Marketing, Project management",0.0,Any Graduate,Pan-India,,https://gailonline.com/CRCareerGrowthGail.html,https://gailonline.com/CRCareerGrowthGail.html,Oil & Gas,GAIL PM Internship Scheme (PMIS) 2025–26 at GAIL. Ministry of Corporate Affairs scheme; pminternshipscheme.com for application,"₹5,000/month + ₹6,000 one-time",6 months,Open
PGCIL Student Apprenticeship Programme 2026,Power Grid Corporation (PGCIL),"Power transmission systems, Substation operations, SCADA, EHV equipment, Electrical testing, Networking",0.0,Diploma,Corporate Centre + Regional Transmission Systems,,https://www.powergrid.in/career,https://www.powergrid.in/career,Energy & Power,PGCIL Student Apprenticeship Programme 2026 at Power Grid Corporation (PGCIL). Maharatna PSU; 278 substations pan-India; apply at powergrid.in/career,"₹8,000–₹9,000/month",1 year,Open
PGCIL Engineer Trainee (ET) via GATE 2026,Power Grid Corporation (PGCIL),"Power systems, EHV transmission, Protection systems, SCADA, EMS, Civil infra, IT systems",0.0,Engineering,Pan-India,,https://www.powergrid.in/career,https://www.powergrid.in/career,Energy & Power,PGCIL Engineer Trainee (ET) via GATE 2026 at Power Grid Corporation (PGCIL). GATE required; Electrical/Electronics/Civil/CS disciplines,"₹30,000–₹40,000/month during training",1 year,Open
RailTel Apprenticeship Training 2025 (40 posts),RailTel,"Telecom infrastructure, Optical fiber, Network management, IT systems, Data centres, Cybersecurity basics",0.0,Diploma,Pan-India (Corporate + Regional offices),,https://www.railtel.in/careers.html,https://www.railtel.in/careers.html,Telecom & IT,RailTel Apprenticeship Training 2025 (40 posts) at RailTel. PDF notification Jul 2025; 40 posts; Navratna PSU under Ministry of Railways,"₹8,000–₹9,000/month",1 year,Open
NALCO Graduate Engineer Trainee (GET) — Student Training,NALCO,"Alumina production, Smelting, Mining operations, Electrical systems, Chemical processes, IT systems",0.0,"Mechanical, Electrical, Metallurgy, Mining, Chemical, Civil, IT",Bhubaneswar / Angul / Damanjodi,,https://nalcoindia.com/Career/,https://nalcoindia.com/Career/,Metals & Mining,NALCO Graduate Engineer Trainee (GET) — Student Training at NALCO. Also accepts project trainees via engineering colleges MoU,Stipend (GET stage),Varies,Open
SAIL Bhilai Apprenticeship / Industrial Training,SAIL (Steel Authority),"Steelmaking, Rolling mills, Blast furnace, Electrical systems, Instrumentation, Metallurgical processes",0.0,Diploma,Bhilai Steel Plant,,https://www.sail.co.in/en/careers,https://www.sail.co.in/en/careers,Metals & Steel,SAIL Bhilai Apprenticeship / Industrial Training at SAIL (Steel Authority). Maharatna PSU; India's largest integrated steel plant,"₹8,000–₹14,000/month (apprenticeship)",1 year / 4–8 weeks,Open
SAIL Rourkela Apprenticeship / Industrial Training,SAIL (Steel Authority),"Steelmaking, Flat products, Process engineering, Electrical, Civil structures",0.0,Diploma,Rourkela Steel Plant,,https://www.sail.co.in/en/careers,https://www.sail.co.in/en/careers,Metals & Steel,SAIL Rourkela Apprenticeship / Industrial Training at SAIL (Steel Authority). Specialises in flat products including silicon steel,"₹8,000–₹14,000/month (apprenticeship)",1 year / 4–8 weeks,Open
